1. 您是否知晓本问卷仅用于研究，并自愿参与本次调查?【必答】,2. 您的性别是?【必答】,3. 您目前的年龄是?【必答】,4. 您目前所在年级是?【必答】,5. 您的专业类别更接近:【必答】,6. 您成长过程中长期居住地更接近:【必答】,7. 您是否为独生子女?【必答】,8. 您目前的感情状态是?【必答】,9. 您父母目前的婚姻状况更接近:【必答】,10. 您对大学期间谈恋爱的总体态度是?【必答】,11. 您目前是否有恋爱意愿?【必答】,12. 如果您选择恋爱，最主要的原因是什么?【必答】,13. 如果您目前不太想恋爱，最主要的原因是什么?【必答，】,14. 您是否同意“在当下生活中，恋爱有时像一种奢侈品”这句话?【必答】,15. 您目前的学业/实习/就业压力对您的恋爱意愿影响如何?【必答】,16. 您认为恋爱中最重要的“情绪价值”主要体现在哪些方面?【必答，】,17. 在择偶时，您最看重的因素是?【必答，】,18. 与上一代相比，您认为自己这一代在择偶时更看重:【必答】,19. 当“性格合拍/情绪价值”与“现实条件（经济、家庭背景等）”发生冲突时，您更倾向于:【必答】,20. 您是否认同“宁缺毋滥”的择偶态度?【必答】,21. 如果遇到一个总体不错但并不完全符合您标准的人，您更可能:【必答】,22. 在亲密关系中，您更倾向于哪种相处模式?【必答】,23. 您对婚姻的总体态度是?【必答】,24. 您是否认同“人生不一定非要结婚”?【必答】,25. 以下哪项最符合您对“恋爱与婚姻关系”的看法?【必答】,26. 如果您的恋爱对象明确表示“只想恋爱，不想结婚”，您的态度是:【必答】,27. 您认为结婚的必备条件主要有哪些?【必答，】,28. 您对“先立业后成家”这一观念的态度是:【必答】,29. 您理想中的结婚年龄大致是:【必答】,30. 如果未来选择晚婚或不婚，最可能的原因是什么?【必答，】,31. 您如何看待“男主外、女主内”的家庭分工模式?【必答】,32. 在理想婚姻中，您认为以下哪些方面应尽量平等?【可多选】,33. 您对“婚姻可能给女性带来更大风险或代价”这一说法的看法是:【必答】,34. 您对未来婚姻最主要的顾虑是什么?【必答，】,35. 您是否认同“婚恋关系中也需要适度的风险防范（如婚前体检、财产约定、征信了解等）”?【必答】,36. 您与父母在婚恋观念上的一致程度如何?【必答】,37. 您认为父母的婚姻相处模式对您的婚恋观影响如何?【必答】,38. 您在社交媒体上接触婚恋相关内容的频率如何?【必答】,39. 您过去常接触的婚恋相关内容主要包括哪些?【可多选】,40. 网络上的婚恋内容整体上对您的婚恋观影响程度如何?【必答】
A. 是，我同意继续作答,A. 男,B. 18岁,A. 大一,D. 工学类,A. 一线城市,B. 否,C. 恋爱中,A. 婚姻稳定，关系较好,A. 非常支持,A. 很强,A. 寻找能长期发展的伴侣┋B. 获得情感支持与理解┋C. 享受恋爱本身的体验┋D. 排解孤独感┋F. 增加人生经验，促进自我成长,A. 学业/工作压力太大┋D. 没有遇到合适的人┋E. 经济压力较大,B. 比较同意,B. 有一点影响,A. 被理解、被共情┋B. 及时回应和陪伴┋C. 遇到困难时能支持我┋D. 提供情绪安慰与安全感┋E. 仪式感与浪漫表达┋F. 包容我的缺点和情绪波动,A. 性格合拍┋B. 三观一致┋C. 情绪稳定┋H. 上进心与责任感┋I. 兴趣爱好相近┋J. 忠诚专一,B. 感情基础与精神契合,C. 两者同样重要,B. 比较认同,B. 可以先接触再判断,B. 保持亲密，但彼此保留独立空间,A. 非常向往,B. 比较认同,D. 婚姻是恋爱的自然结果,B. 有些犹豫，但愿意继续观察,A. 双方足够了解┋B. 有稳定感情基础┋C. 自己事业相对稳定┋D. 对方事业相对稳定┋E. 有稳定收入┋G. 双方家庭认可┋H. 三观一致┋I. 对未来责任有共识,B. 比较认同,B. 24—25岁,A. 没遇到真正合适的人┋B. 经济压力大┋D. 对婚姻制度本身信心不足┋G. 受负面案例影响较大,D. 不太认同,G. 以上都应尽量平等,B. 比较认同,A. 感情变淡或对方变心┋C. 育儿责任失衡┋E. 经济压力太大┋F. 双方家庭矛盾┋G. 离婚和财产分割风险,A. 非常认同,B. 大体一致,A. 明显积极影响,B. 比较频繁,A. 明星恋情/婚变┋B. 网红情侣日常┋C. 彩礼、房产、婚礼争议┋D. 家暴、出轨、离婚等负面新闻┋F. 不婚/丁克生活分享,E. 改变了我的一些核心看法
A. 是，我同意继续作答,A. 男,C. 19岁,A. 大一,D. 工学类,B. 新一线/二线城市,A. 是,A. 单身且没有恋爱经历,A. 婚姻稳定，关系较好,A. 非常支持,C. 一般,A. 寻找能长期发展的伴侣┋B. 获得情感支持与理解┋C. 享受恋爱本身的体验┋D. 排解孤独感┋E. 身边人都在谈，不想落后┋F. 增加人生经验，促进自我成长,A. 学业/工作压力太大┋B. 恋爱耗费时间和精力┋D. 没有遇到合适的人┋F. 对亲密关系缺乏信心,A. 非常同意,B. 有一点影响,A. 被理解、被共情┋B. 及时回应和陪伴┋C. 遇到困难时能支持我┋D. 提供情绪安慰与安全感┋F. 包容我的缺点和情绪波动,A. 性格合拍┋E. 经济条件┋F. 家庭背景┋G. 学历/能力┋H. 上进心与责任感┋I. 兴趣爱好相近┋J. 忠诚专一,B. 感情基础与精神契合,C. 两者同样重要,A. 非常认同,C. 容易因为心动而降低标准,B. 保持亲密，但彼此保留独立空间,C. 顺其自然,B. 比较认同,C. 恋爱可以不结婚，但婚姻必须以感情为基础,A. 可以接受,A. 双方足够了解┋B. 有稳定感情基础┋C. 自己事业相对稳定┋D. 对方事业相对稳定┋E. 有稳定收入┋I. 对未来责任有共识,D. 不太认同,C. 26—27岁,A. 没遇到真正合适的人┋E. 害怕婚后责任和冲突┋F. 更享受独处和自由,C. 一般,A. 收入与经济支配┋B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪劳动与精神支持┋G. 以上都应尽量平等,B. 比较认同,A. 感情变淡或对方变心┋C. 育儿责任失衡┋F. 双方家庭矛盾┋G. 离婚和财产分割风险,A. 非常认同,C. 有一些分歧,C. 没有明显影响,D. 较少,G. 性别对立相关讨论,C. 影响较大
A. 是，我同意继续作答,A. 男,C. 19岁,A. 大一,D. 工学类,D. 县城/城镇,A. 是,A. 单身且没有恋爱经历,A. 婚姻稳定，关系较好,A. 非常支持,A. 很强,A. 寻找能长期发展的伴侣┋B. 获得情感支持与理解┋C. 享受恋爱本身的体验,D. 没有遇到合适的人,C. 一般,A. 完全没有影响,A. 被理解、被共情┋B. 及时回应和陪伴,B. 三观一致┋J. 忠诚专一,B. 感情基础与精神契合,E. 明显优先考虑感情契合,A. 非常认同,B. 可以先接触再判断,D. 视具体对象而定,C. 顺其自然,A. 非常认同,B. 恋爱和婚姻可以分开看待,A. 可以接受,A. 双方足够了解┋B. 有稳定感情基础┋H. 三观一致,C. 一般,C. 26—27岁,A. 没遇到真正合适的人,E. 完全不认同,G. 以上都应尽量平等,D. 不太认同,H. 没有特别顾虑,B. 比较认同,B. 大体一致,B. 略有积极影响,B. 比较频繁,B. 网红情侣日常┋D. 家暴、出轨、离婚等负面新闻┋E. 情感博主建议,A. 几乎没有影响
A. 是，我同意继续作答,A. 男,C. 19岁,A. 大一,D. 工学类,B. 新一线/二线城市,B. 否,A. 单身且没有恋爱经历,A. 婚姻稳定，关系较好,A. 非常支持,A. 很强,B. 获得情感支持与理解┋C. 享受恋爱本身的体验┋F. 增加人生经验，促进自我成长,D. 没有遇到合适的人,A. 非常同意,B. 有一点影响,A. 被理解、被共情┋B. 及时回应和陪伴┋D. 提供情绪安慰与安全感┋F. 包容我的缺点和情绪波动,A. 性格合拍┋B. 三观一致┋I. 兴趣爱好相近,B. 感情基础与精神契合,B. 略偏向现实条件,A. 非常认同,A. 坚持标准，不会开始,B. 保持亲密，但彼此保留独立空间,A. 非常向往,D. 不太认同,D. 婚姻是恋爱的自然结果,A. 可以接受,A. 双方足够了解┋B. 有稳定感情基础┋C. 自己事业相对稳定┋D. 对方事业相对稳定┋G. 双方家庭认可┋H. 三观一致┋I. 对未来责任有共识,A. 非常认同,C. 26—27岁,A. 没遇到真正合适的人┋B. 经济压力大┋F. 更享受独处和自由┋G. 受负面案例影响较大,C. 一般,D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪劳动与精神支持,E. 完全不认同,D. 生育影响身体和职业发展┋E. 经济压力太大┋F. 双方家庭矛盾,A. 非常认同,B. 大体一致,C. 没有明显影响,A. 非常频繁,B. 网红情侣日常┋G. 性别对立相关讨论,B. 有一点影响
A. 是，我同意继续作答,A. 男,C. 19岁,A. 大一,C. 理学类,B. 新一线/二线城市,B. 否,A. 单身且没有恋爱经历,A. 婚姻稳定，关系较好,A. 非常支持,A. 很强,A. 寻找能长期发展的伴侣┋B. 获得情感支持与理解┋C. 享受恋爱本身的体验┋D. 排解孤独感┋F. 增加人生经验，促进自我成长,A. 学业/工作压力太大┋D. 没有遇到合适的人┋F. 对亲密关系缺乏信心,A. 非常同意,B. 有一点影响,A. 被理解、被共情┋B. 及时回应和陪伴┋C. 遇到困难时能支持我┋F. 包容我的缺点和情绪波动,A. 性格合拍┋B. 三观一致┋C. 情绪稳定┋G. 学历/能力┋J. 忠诚专一,B. 感情基础与精神契合,B. 略偏向现实条件,B. 比较认同,B. 可以先接触再判断,B. 保持亲密，但彼此保留独立空间,A. 非常向往,C. 一般,C. 恋爱可以不结婚，但婚姻必须以感情为基础,B. 有些犹豫，但愿意继续观察,A. 双方足够了解┋B. 有稳定感情基础┋C. 自己事业相对稳定┋D. 对方事业相对稳定┋E. 有稳定收入┋G. 双方家庭认可┋H. 三观一致┋I. 对未来责任有共识,A. 非常认同,C. 26—27岁,A. 没遇到真正合适的人┋C. 担心影响个人发展,C. 一般,G. 以上都应尽量平等,D. 不太认同,H. 没有特别顾虑,B. 比较认同,E. 基本不讨论,B. 略有积极影响,D. 较少,H. 其他:〖较少〗,A. 几乎没有影响
A. 是，我同意继续作答,A. 男,C. 19岁,A. 大一,D. 工学类,B. 新一线/二线城市,B. 否,A. 单身且没有恋爱经历,A. 婚姻稳定，关系较好,B. 比较支持,B. 较强,A. 寻找能长期发展的伴侣┋B. 获得情感支持与理解┋C. 享受恋爱本身的体验,A. 学业/工作压力太大┋D. 没有遇到合适的人┋F. 对亲密关系缺乏信心,B. 比较同意,B. 有一点影响,A. 被理解、被共情┋B. 及时回应和陪伴┋C. 遇到困难时能支持我┋D. 提供情绪安慰与安全感,B. 三观一致┋C. 情绪稳定┋D. 外貌吸引力┋H. 上进心与责任感┋J. 忠诚专一,B. 感情基础与精神契合,D. 略偏向感情契合,A. 非常认同,B. 可以先接触再判断,B. 保持亲密，但彼此保留独立空间,C. 顺其自然,B. 比较认同,C. 恋爱可以不结婚，但婚姻必须以感情为基础,C. 比较难接受,A. 双方足够了解┋B. 有稳定感情基础┋G. 双方家庭认可┋H. 三观一致┋I. 对未来责任有共识,D. 不太认同,B. 24—25岁,D. 对婚姻制度本身信心不足┋G. 受负面案例影响较大,D. 不太认同,G. 以上都应尽量平等,E. 完全不认同,A. 感情变淡或对方变心┋F. 双方家庭矛盾┋G. 离婚和财产分割风险,A. 非常认同,A. 高度一致,A. 明显积极影响,C. 一般,C. 彩礼、房产、婚礼争议┋D. 家暴、出轨、离婚等负面新闻┋G. 性别对立相关讨论,C. 影响较大
A. 是，我同意继续作答,A. 男,C. 19岁,A. 大一,D. 工学类,B. 新一线/二线城市,B. 否,B. 单身但有恋爱经历,A. 婚姻稳定，关系较好,B. 比较支持,C. 一般,A. 寻找能长期发展的伴侣┋B. 获得情感支持与理解┋C. 享受恋爱本身的体验┋D. 排解孤独感,A. 学业/工作压力太大┋B. 恋爱耗费时间和精力┋D. 没有遇到合适的人┋E. 经济压力较大┋F. 对亲密关系缺乏信心┋G. 曾有不愉快经历,A. 非常同意,B. 有一点影响,A. 被理解、被共情┋B. 及时回应和陪伴┋C. 遇到困难时能支持我┋D. 提供情绪安慰与安全感┋E. 仪式感与浪漫表达┋F. 包容我的缺点和情绪波动,A. 性格合拍┋B. 三观一致┋C. 情绪稳定┋D. 外貌吸引力┋H. 上进心与责任感┋I. 兴趣爱好相近┋J. 忠诚专一,C. 两者差不多,A. 明显优先考虑现实条件,A. 非常认同,B. 可以先接触再判断,A. 高度陪伴、频繁联系,A. 非常向往,D. 不太认同,C. 恋爱可以不结婚，但婚姻必须以感情为基础,B. 有些犹豫，但愿意继续观察,A. 双方足够了解┋B. 有稳定感情基础┋C. 自己事业相对稳定┋D. 对方事业相对稳定┋E. 有稳定收入┋F. 有住房/居住保障┋G. 双方家庭认可┋H. 三观一致┋I. 对未来责任有共识,B. 比较认同,C. 26—27岁,A. 没遇到真正合适的人┋B. 经济压力大┋D. 对婚姻制度本身信心不足┋E. 害怕婚后责任和冲突,C. 一般,A. 收入与经济支配┋B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪劳动与精神支持┋G. 以上都应尽量平等,B. 比较认同,A. 感情变淡或对方变心┋B. 家务分工不公平┋C. 育儿责任失衡┋F. 双方家庭矛盾,A. 非常认同,B. 大体一致,A. 明显积极影响,B. 比较频繁,C. 彩礼、房产、婚礼争议┋E. 情感博主建议,B. 有一点影响
A. 是，我同意继续作答,A. 男,C. 19岁,A. 大一,D. 工学类,A. 一线城市,B. 否,A. 单身且没有恋爱经历,A. 婚姻稳定，关系较好,B. 比较支持,C. 一般,B. 获得情感支持与理解┋C. 享受恋爱本身的体验┋D. 排解孤独感┋F. 增加人生经验，促进自我成长,B. 恋爱耗费时间和精力┋F. 对亲密关系缺乏信心,C. 一般,B. 有一点影响,A. 被理解、被共情┋B. 及时回应和陪伴┋C. 遇到困难时能支持我┋D. 提供情绪安慰与安全感,A. 性格合拍┋B. 三观一致┋C. 情绪稳定┋D. 外貌吸引力,C. 两者差不多,B. 略偏向现实条件,A. 非常认同,B. 可以先接触再判断,C. 更注重各自成长，联系频率不必太高,D. 比较谨慎,B. 比较认同,C. 恋爱可以不结婚，但婚姻必须以感情为基础,B. 有些犹豫，但愿意继续观察,A. 双方足够了解┋B. 有稳定感情基础┋C. 自己事业相对稳定┋D. 对方事业相对稳定┋E. 有稳定收入┋F. 有住房/居住保障┋G. 双方家庭认可┋H. 三观一致┋I. 对未来责任有共识,C. 一般,C. 26—27岁,A. 没遇到真正合适的人┋F. 更享受独处和自由,D. 不太认同,B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪劳动与精神支持,D. 不太认同,A. 感情变淡或对方变心┋C. 育儿责任失衡┋G. 离婚和财产分割风险,A. 非常认同,B. 大体一致,D. 略有消极影响,C. 一般,C. 彩礼、房产、婚礼争议┋D. 家暴、出轨、离婚等负面新闻┋E. 情感博主建议┋G. 性别对立相关讨论,C. 影响较大
A. 是，我同意继续作答,A. 男,C. 19岁,A. 大一,C. 理学类,B. 新一线/二线城市,A. 是,B. 单身但有恋爱经历,A. 婚姻稳定，关系较好,A. 非常支持,B. 较强,A. 寻找能长期发展的伴侣┋B. 获得情感支持与理解┋C. 享受恋爱本身的体验┋F. 增加人生经验，促进自我成长,A. 学业/工作压力太大┋B. 恋爱耗费时间和精力┋D. 没有遇到合适的人┋G. 曾有不愉快经历,B. 比较同意,B. 有一点影响,A. 被理解、被共情┋B. 及时回应和陪伴┋C. 遇到困难时能支持我┋D. 提供情绪安慰与安全感,A. 性格合拍┋B. 三观一致┋C. 情绪稳定┋D. 外貌吸引力┋I. 兴趣爱好相近,B. 感情基础与精神契合,D. 略偏向感情契合,C. 一般,B. 可以先接触再判断,B. 保持亲密，但彼此保留独立空间,B. 比较向往,B. 比较认同,C. 恋爱可以不结婚，但婚姻必须以感情为基础,B. 有些犹豫，但愿意继续观察,A. 双方足够了解┋B. 有稳定感情基础┋C. 自己事业相对稳定┋D. 对方事业相对稳定┋G. 双方家庭认可┋H. 三观一致┋I. 对未来责任有共识,C. 一般,C. 26—27岁,A. 没遇到真正合适的人┋B. 经济压力大┋C. 担心影响个人发展┋D. 对婚姻制度本身信心不足┋E. 害怕婚后责任和冲突┋G. 受负面案例影响较大,C. 一般,G. 以上都应尽量平等,D. 不太认同,A. 感情变淡或对方变心┋G. 离婚和财产分割风险,A. 非常认同,B. 大体一致,B. 略有积极影响,C. 一般,A. 明星恋情/婚变┋B. 网红情侣日常┋C. 彩礼、房产、婚礼争议┋D. 家暴、出轨、离婚等负面新闻┋E. 情感博主建议┋G. 性别对立相关讨论,C. 影响较大
A. 是，我同意继续作答,A. 男,C. 19岁,A. 大一,C. 理学类,D. 县城/城镇,B. 否,B. 单身但有恋爱经历,A. 婚姻稳定，关系较好,B. 比较支持,C. 一般,B. 获得情感支持与理解┋C. 享受恋爱本身的体验┋D. 排解孤独感┋F. 增加人生经验，促进自我成长,D. 没有遇到合适的人,B. 比较同意,B. 有一点影响,A. 被理解、被共情┋C. 遇到困难时能支持我┋D. 提供情绪安慰与安全感,A. 性格合拍┋D. 外貌吸引力┋H. 上进心与责任感┋J. 忠诚专一,A. 经济与家庭条件,C. 两者同样重要,B. 比较认同,B. 可以先接触再判断,B. 保持亲密，但彼此保留独立空间,B. 比较向往,E. 完全不认同,C. 恋爱可以不结婚，但婚姻必须以感情为基础,C. 比较难接受,B. 有稳定感情基础┋C. 自己事业相对稳定┋F. 有住房/居住保障┋G. 双方家庭认可┋I. 对未来责任有共识,B. 比较认同,C. 26—27岁,A. 没遇到真正合适的人,B. 比较认同,D. 家庭重大决策┋F. 情绪劳动与精神支持,D. 不太认同,G. 离婚和财产分割风险,B. 比较认同,B. 大体一致,A. 明显积极影响,C. 一般,B. 网红情侣日常┋C. 彩礼、房产、婚礼争议┋D. 家暴、出轨、离婚等负面新闻┋E. 情感博主建议,A. 几乎没有影响
